378	SO43659
216	SO43660
281	SO43661
564	SO43662
97	SO43663
458	SO43664
114	SO43665
828	SO43666
542	SO43667
151	SO43668
295	SO43669
99	SO43670
448	SO43671
844	SO43672
398	SO43673
131	SO43674
380	SO43675
364	SO43676
377	SO43677
447	SO43678
309	SO43679
6	SO43680
204	SO43681
307	SO43682
14	SO43683
475	SO43684
862	SO43685
142	SO43686
147	SO43687
265	SO43688
186	SO43689
51	SO43690
103	SO43691
562	SO43692
8	SO43693
75	SO43694
524	SO43695
403	SO43696
13278	SO43697
14719	SO43698
9753	SO43699
10411	SO43700
10558	SO43701
12714	SO43702
14097	SO43703
6190	SO43704
17458	SO43705
3429	SO43706
11053	SO43707
8574	SO43708
4116	SO43709
15562	SO43710
8551	SO43711
11997	SO43712
2035	SO43713
5334	SO43714
18322	SO43715
13687	SO43716
1989	SO43717
15462	SO43718
4019	SO43719
8731	SO43720
12276	SO43721
14120	SO43722
2879	SO43723
15688	SO43724
13574	SO43725
16103	SO43726
5667	SO43727
10749	SO43728
2592	SO43729
13863	SO43730
4184	SO43731
11765	SO43732
14698	SO43733
13354	SO43734
15500	SO43735
10469	SO43736
19866	SO43737
16281	SO43738
19358	SO43739
18528	SO43740
3203	SO43741
11096	SO43742
3078	SO43743
2595	SO43744
15140	SO43745
18323	SO43746
17354	SO43747
6820	SO43748
8025	SO43749
16808	SO43750
7568	SO43751
16084	SO43752
9575	SO43753
8846	SO43754
11915	SO43755
2736	SO43756
1721	SO43757
4565	SO43758
11646	SO43759
1874	SO43760
14577	SO43761
9155	SO43762
4126	SO43763
8886	SO43764
5577	SO43765
16560	SO43766
4654	SO43767
14339	SO43768
2538	SO43769
11169	SO43770
11787	SO43771
5865	SO43772
10134	SO43773
10318	SO43774
4726	SO43775
5567	SO43776
14998	SO43777
6594	SO43778
10981	SO43779
15964	SO43780
12987	SO43781
3551	SO43782
16715	SO43783
2662	SO43784
7385	SO43785
13813	SO43786
19442	SO43787
15605	SO43788
12080	SO43789
12001	SO43790
1760	SO43791
4270	SO43792
12731	SO43793
14838	SO43794
2464	SO43795
2040	SO43796
1758	SO43797
7640	SO43798
13943	SO43799
6408	SO43800
12806	SO43801
6146	SO43802
7244	SO43803
8195	SO43804
16198	SO43805
16849	SO43806
5664	SO43807
15064	SO43808
3060	SO43809
11101	SO43810
2057	SO43811
4017	SO43812
7052	SO43813
12069	SO43814
6080	SO43815
11407	SO43816
2845	SO43817
6698	SO43818
5429	SO43819
14330	SO43820
14961	SO43821
10155	SO43822
6153	SO43823
1984	SO43824
7110	SO43825
13873	SO43826
17636	SO43827
3294	SO43828
14901	SO43829
8711	SO43830
14288	SO43831
13967	SO43832
6909	SO43833
5636	SO43834
7548	SO43835
9402	SO43836
19429	SO43837
6493	SO43838
10173	SO43839
15660	SO43840
18258	SO43841
8639	SO43842
521	SO43843
159	SO43844
446	SO43845
74	SO43846
61	SO43847
264	SO43848
371	SO43849
451	SO43850
27	SO43851
411	SO43852
366	SO43853
558	SO43854
511	SO43855
224	SO43856
851	SO43857
527	SO43858
422	SO43859
322	SO43860
297	SO43861
510	SO43862
312	SO43863
833	SO43864
899	SO43865
104	SO43866
116	SO43867
817	SO43868
888	SO43869
219	SO43870
853	SO43871
881	SO43872
250	SO43873
102	SO43874
163	SO43875
871	SO43876
490	SO43877
207	SO43878
28	SO43879
340	SO43880
893	SO43881
88	SO43882
271	SO43883
418	SO43884
305	SO43885
245	SO43886
10	SO43887
345	SO43888
383	SO43889
33	SO43890
360	SO43891
263	SO43892
467	SO43893
574	SO43894
290	SO43895
